employee_id,name,department_id,role_id,salary,hourly_rate,hire_date
83,Employee 83,2,8,68846.44,38.47,2023-04-07
84,Employee 84,5,7,47663.11,15.35,2012-02-05
85,Employee 85,3,9,54038.25,23.54,2022-03-19
86,Employee 86,1,10,33887.51,37.54,2017-01-31
87,Employee 87,5,2,44503.24,17.73,2017-04-03
88,Employee 88,1,2,36603.17,43.87,2015-08-24
89,Employee 89,1,9,31039.21,24.85,2011-06-20
90,Employee 90,2,1,40738.21,33.91,2012-11-14
91,Employee 91,3,6,34984.33,33.81,2011-09-26
92,Employee 92,5,10,60593.33,30.13,2018-07-05
93,Employee 93,1,7,59746.32,21.84,2011-10-06
94,Employee 94,5,2,65246.48,40.83,2021-08-05
95,Employee 95,1,5,31648.68,45.18,2021-09-11
96,Employee 96,3,9,69543.16,20.41,2023-02-11
97,Employee 97,4,6,67703.21,19.58,2014-01-23
98,Employee 98,3,4,49544.76,28.41,2021-12-20
99,Employee 99,2,10,58805.53,34.21,2010-08-13
100,Employee 100,5,1,40533.72,48.44,2018-11-24
